business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jayesh Industrial Suppliers Pvt Ltd,Industrial Equipment Suppliers,Industrial equipment supplier,"Industrial equipment supplier, Manufacturer",831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 92627 89927,http://www.jayeshindustrial.com/,5.0,3.0,"40, Bistupur Main Rd, Bistupur Market, Bistupur, Jamshedpur, Jharkhand 831001","Bistupur Market, Bistupur",22.7933201,86.1843231,ChIJX04Xi2fj9TkRhWnufRwmc7M,https://www.google.com/maps/place/?q=place_id:ChIJX04Xi2fj9TkRhWnufRwmc7M,part_388,2026-09-20 20:20:27
Industrial Tool & Equipments,Industrial Equipment Suppliers,Industrial equipment supplier,"Industrial equipment supplier, Tool store",831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 657 238 3282,N/A,3.5,8.0,"Q5Q5+FP6, Main Road, S Type, Chowk, Adityapur, Jamshedpur, Jharkhand 831013","S Type, Chowk, Adityapur",22.7886557,86.1592788,ChIJKfxB95Xk9TkR4xBjOdHDcWg,https://www.google.com/maps/place/?q=place_id:ChIJKfxB95Xk9TkR4xBjOdHDcWg,part_388,2026-09-20 20:20:27
Zatakia Commercial Corporation,Industrial Equipment Suppliers,Industrial equipment supplier,"Industrial equipment supplier, Fastener supplier, Hardware store, Industrial Spares & Products Wholesaler, Tools Wholesaler, Welding supply store",831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 90319 55154,N/A,4.5,2.0,"Shop No.3C, 3rd Floor, R.R. Square, Bistupur Main Rd, South Park, Bistupur, Jamshedpur, Jharkhand 831001","South Park, Bistupur",22.789828,86.18390769999999,ChIJ9eaMIGbj9TkRjlIUfj-N0YE,https://www.google.com/maps/place/?q=place_id:ChIJ9eaMIGbj9TkRjlIUfj-N0YE,part_388,2026-09-20 20:20:27
Vasuki Engineering & Marketing Co.,Industrial Equipment Suppliers,Industrial equipment supplier,"Industrial equipment supplier, Electric motor store, Industrial consultant, Industrial Spares & Products Wholesaler, Pipe supplier, Pump supplier, Ventilating Equipment Manufacturer, Water Pump Supplier",831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,N/A,N/A,4.7,10.0,"S-4, Aviskar Bumbra enclave, Q Rd, South Park, Jhanda chowk, Jamshedpur, Jharkhand 831001","South Park, Jhanda chowk",22.7895868,86.18274869999999,ChIJ9ddJHKfj9TkR27jkYDZxHLc,https://www.google.com/maps/place/?q=place_id:ChIJ9ddJHKfj9TkR27jkYDZxHLc,part_388,2026-09-20 20:20:27
Shree Engineering Stores - Tools,Industrial Equipment Suppliers,Tool store,"Tool store, Hydraulic equipment supplier, Pneumatic tools supplier",831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 93044 44844,N/A,4.6,25.0,"C/1-20, Bistupur Market, Bistupur, Jamshedpur, Jharkhand 831001","Bistupur Market, Bistupur",22.7937409,86.18447619999999,ChIJF_2b0A3j9TkRdSm3h7k5tlg,https://www.google.com/maps/place/?q=place_id:ChIJF_2b0A3j9TkRdSm3h7k5tlg,part_388,2026-09-20 20:20:27
New Era Industrial Corporation,Industrial Equipment Suppliers,Hydraulic equipment supplier,Hydraulic equipment supplier,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 657 232 0569,N/A,5.0,2.0,"2nd Floor, kamani Centre, 39-41-43, Bistupur Main Rd, Bistupur, Jamshedpur, Jharkhand 831001",Bistupur,22.7931572,86.183639,ChIJ_9yQQ2bj9TkRZgqz1ZHrZ7Q,https://www.google.com/maps/place/?q=place_id:ChIJ_9yQQ2bj9TkRZgqz1ZHrZ7Q,part_388,2026-09-20 20:20:27
SANTECH ENGINEERING,Industrial Equipment Suppliers,Industrial equipment supplier,"Industrial equipment supplier, Supplier, Logistics service",831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 88731 21995,N/A,5.0,1.0,"E 486, A Block, West Layout, Sonari, Jamshedpur, Jharkhand 831011","A Block, West Layout, Sonari",22.8188846,86.16643409999999,ChIJrbP6L-3l9TkRJaR2CEX5XZs,https://www.google.com/maps/place/?q=place_id:ChIJrbP6L-3l9TkRJaR2CEX5XZs,part_388,2026-09-20 20:20:27
Universal Tools,Industrial Equipment Suppliers,Industrial equipment supplier,Industrial equipment supplier,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 657 238 3206,http://www.universaltools.in/,5.0,2.0,"Tata Kandra Rd, near Jharkhand Gramin Bank, S Type, LIC Colony, Adityapur, Jamshedpur, Jharkhand 832109","S Type, LIC Colony, Adityapur",22.7896026,86.15849399999999,ChIJP1NQjP7l9TkRko64IkHl-5U,https://www.google.com/maps/place/?q=place_id:ChIJP1NQjP7l9TkRko64IkHl-5U,part_388,2026-09-20 20:20:27
Krishna International,Industrial Equipment Suppliers,Hydraulic equipment supplier,"Hydraulic equipment supplier, Machinery parts manufacturer",831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 98355 44901,N/A,5.0,11.0,"Office no-No. 410, 4th Floor, Ashiana Trade Centre, LIC Colony, Adityapur, Jamshedpur, Jharkhand 832109","LIC Colony, Adityapur",22.7909728,86.1541926,ChIJBX8y_cvl9TkRvhgHoJTI5P4,https://www.google.com/maps/place/?q=place_id:ChIJBX8y_cvl9TkRvhgHoJTI5P4,part_388,2026-09-20 20:20:27
C S & COMPANY,Industrial Equipment Suppliers,Material handling equipment supplier,Material handling equipment supplier,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 91628 11111,N/A,4.9,8.0,"C/121, B Block, New Line, Sonari, Basti, Jamshedpur, Jharkhand 831011","B Block, New Line, Sonari",22.8195457,86.1726267,ChIJ-cCNKYrl9TkRkVkn7SdFTkA,https://www.google.com/maps/place/?q=place_id:ChIJ-cCNKYrl9TkRkVkn7SdFTkA,part_388,2026-09-20 20:20:27
