business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
NextBiz Digital | An International Digital Marketing Company,Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Business management consultant, Service establishment, Internet marketing service, Marketing consultant, Software company, Web hosting company, Website designer",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 82929 14013,https://nextbizdigital.com/,5.0,,"NextBiz Digital | An International Digital Marketing Company, 825330, India",825330,21.0680074,82.7525294,ChIJFzqYK29yEK4RjXQNKRfWYq0,https://www.google.com/maps/place/?q=place_id:ChIJFzqYK29yEK4RjXQNKRfWYq0,part_385,2026-09-20 20:20:02,5359
Amit Jha Digital Marketing Expert,Digital Marketing Agencies,Marketing consultant,"Marketing consultant, Advertising agency, Service establishment, Internet marketing service",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 84204 76141,https://scrollwords.com/,,,"Amit Jha Digital Marketing Expert, 825330, India",825330,23.63837,85.37507769999999,ChIJIbexUefz9DkRLMVXIvbHijI,https://www.google.com/maps/place/?q=place_id:ChIJIbexUefz9DkRLMVXIvbHijI,part_385,2026-09-20 20:20:02,5360
Unfiltered Growth: Digital Marketing Agency,Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Branding agency, Business management consultant, Consultant, Service establishment, Internet marketing service, Marketing consultant",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 94711 67662,https://www.unfilteredgrowth.in/,3.8,,"Unfiltered Growth: Digital Marketing Agency, 825330, India",825330,14.157641199999999,0.0,ChIJq0qGEMwXmm0R4RNPYYeK2ZQ,https://www.google.com/maps/place/?q=place_id:ChIJq0qGEMwXmm0R4RNPYYeK2ZQ,part_385,2026-09-20 20:20:02,5361
Koderma Web Solutions,Digital Marketing Agencies,Marketing agency,"Marketing agency, Internet marketing service, Software company, Web hosting company, Website designer",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 82981 30183,https://www.kodermawebsolutions.in/,5.0,,"Pani Tank Rd, Jhumri Telaiya, Jharkhand 825409",825330,24.43123,85.5309796,ChIJZ-il6f-c02IRUD-hpsdv-wU,https://www.google.com/maps/place/?q=place_id:ChIJZ-il6f-c02IRUD-hpsdv-wU,part_385,2026-09-20 20:20:02,5362
Scaleup Media,Digital Marketing Agencies,Advertising agency,Advertising agency,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,,,"Ramgarh Cantonment, Marar, Jharkhand 829117",825330,23.6715992,85.5071469,ChIJC0WmP93z9DkR2KoFLUUyYjE,https://www.google.com/maps/place/?q=place_id:ChIJC0WmP93z9DkR2KoFLUUyYjE,part_385,2026-09-20 20:20:02,5363
Cloud SEO - Digital Marketing Agency,Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Animation Studio, Business development service, Graphic designer, Internet marketing service, Software company, Video editing service, Website designer",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 95701 89975,https://cloudseo.in/,4.9,,"2nd floor, Shambhav Apartment Deputy Para Road, Kutchery Chowk, Ranchi, Jharkhand 834001",Ahirtoli,23.380873899999997,85.32745109999999,ChIJ7e90qmLh9DkR51a3PboDPIE,https://www.google.com/maps/place/?q=place_id:ChIJ7e90qmLh9DkR51a3PboDPIE,part_385,2026-09-20 20:20:02,5364
Global Info Edge - Website Design & Performance Digital Marketing Agency,Digital Marketing Agencies,Marketing agency,"Marketing agency, Computer support and services, Design agency, E-commerce service, Graphic designer, Internet marketing service, Advertising agency, Marketing consultant, Web hosting company, Website designer",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 91559 93311,https://www.globalinfoedge.in/,5.0,,"Kushwaha Bhawan, Nawada Road, More, near Nawada, Bishunpur, Garhwa, Jharkhand 822114",Bishunpur,24.1583784,83.78407299999999,ChIJW3037ZcPjDkRGsuLN_KOQRc,https://www.google.com/maps/place/?q=place_id:ChIJW3037ZcPjDkRGsuLN_KOQRc,part_385,2026-09-20 20:20:02,5365
Next Resource Pvt LTd,Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Graphic designer, Internet marketing service, Public relations firm, Website designer",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 97709 96996,http://www.nextresource.co.in/,4.9,,"Between Kokar Chowk, Behind Abhinix Digital & F&P cakes, &, Lalpur Chowk, beside Ram Lakhan Singh Yadav College, Kokar, Jharkhand 834001",Kokar,23.376546299999998,85.35579779999999,ChIJzxLzTpTh9DkRNFgb-IXX8dc,https://www.google.com/maps/place/?q=place_id:ChIJzxLzTpTh9DkRNFgb-IXX8dc,part_385,2026-09-20 20:20:02,5366
Digital Hub Ranchi,Digital Marketing Agencies,Marketing agency,Marketing agency,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 78004 19141,https://digitalhubranchi.com/,5.0,,"Rims Rd, near parsad mart, Kokar, Ranchi, Jharkhand 834001",Kokar,23.3775527,85.3503175,ChIJvbCRVTtgCGARHvY_Khrwdys,https://www.google.com/maps/place/?q=place_id:ChIJvbCRVTtgCGARHvY_Khrwdys,part_385,2026-09-20 20:20:02,5367
Website | Digital Marketing Service - ADS WEBSOFT,Digital Marketing Agencies,Internet marketing service,"Internet marketing service, Software company",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 72095 34800,N/A,4.9,,"Karamtoli, Jharkhand 835207",825330,23.0350957,84.5251821,ChIJkXFReEzpijkRongNzg63NIs,https://www.google.com/maps/place/?q=place_id:ChIJkXFReEzpijkRongNzg63NIs,part_385,2026-09-20 20:20:02,5368
